"","tip.label","GISAID_ID","strain","date","region","country","division","lineageOld","GISAID_clade","Lineage","state","date.lsd","date.lsd.low","date.lsd.high","date.lsd.full"
"1","Canada/fake_67/2020/EPI_ISL_FAKE_67/2020-12-26","EPI_ISL_FAKE_67","Canada/fake_67/2020","2020-12-26","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-26"
"2","Canada/fake_164/2021/EPI_ISL_FAKE_164/2021-02-06","EPI_ISL_FAKE_164","Canada/fake_164/2021","2021-02-06","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-06"
"3","Canada/fake_167/2021/EPI_ISL_FAKE_167/2021-02-06","EPI_ISL_FAKE_167","Canada/fake_167/2021","2021-02-06","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-06"
"4","Portugal/fake_47/2020/EPI_ISL_FAKE_47/2020-12-12","EPI_ISL_FAKE_47","Portugal/fake_47/2020","2020-12-12","Europe","Portugal","Portugal",NA,NA,"B","Portugal",NA,NA,NA,"2020-12-12"
"5","Canada/fake_115/2021/EPI_ISL_FAKE_115/2021-01-22","EPI_ISL_FAKE_115","Canada/fake_115/2021","2021-01-22","North America","Canada","Manitoba",NA,NA,"B","Canada_Manitoba",NA,NA,NA,"2021-01-22"
"6","Portugal/fake_94/2021/EPI_ISL_FAKE_94/2021-01-13","EPI_ISL_FAKE_94","Portugal/fake_94/2021","2021-01-13","Europe","Portugal","Portugal",NA,NA,"B","Portugal",NA,NA,NA,"2021-01-13"
"7","UnitedKingdom/fake_200/2021/EPI_ISL_FAKE_200/2021-02-18","EPI_ISL_FAKE_200","UnitedKingdom/fake_200/2021","2021-02-18","Europe","United Kingdom","England",NA,NA,"B","United Kingdom",NA,NA,NA,"2021-02-18"
"8","Ireland/fake_89/2021/EPI_ISL_FAKE_89/2021-01-09","EPI_ISL_FAKE_89","Ireland/fake_89/2021","2021-01-09","Europe","Ireland","Dublin",NA,NA,"B","Ireland",NA,NA,NA,"2021-01-09"
"9","Canada/fake_169/2021/EPI_ISL_FAKE_169/2021-02-07","EPI_ISL_FAKE_169","Canada/fake_169/2021","2021-02-07","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-07"
"10","Canada/fake_146/2021/EPI_ISL_FAKE_146/2021-02-01","EPI_ISL_FAKE_146","Canada/fake_146/2021","2021-02-01","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-01"
"11","Canada/fake_48/2020/EPI_ISL_FAKE_48/2020-12-12","EPI_ISL_FAKE_48","Canada/fake_48/2020","2020-12-12","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-12"
"12","Canada/fake_53/2020/EPI_ISL_FAKE_53/2020-12-14","EPI_ISL_FAKE_53","Canada/fake_53/2020","2020-12-14","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-14"
"13","Canada/fake_127/2021/EPI_ISL_FAKE_127/2021-01-25","EPI_ISL_FAKE_127","Canada/fake_127/2021","2021-01-25","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-01-25"
