"","tip.label","GISAID_ID","strain","date","region","country","division","lineageOld","GISAID_clade","Lineage","state","date.lsd","date.lsd.low","date.lsd.high","date.lsd.full"
"1","Canada/fake_164/2021/EPI_ISL_FAKE_164/2021-02-06","EPI_ISL_FAKE_164","Canada/fake_164/2021","2021-02-06","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-06"
"2","Canada/fake_167/2021/EPI_ISL_FAKE_167/2021-02-06","EPI_ISL_FAKE_167","Canada/fake_167/2021","2021-02-06","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-06"
"3","Canada/fake_169/2021/EPI_ISL_FAKE_169/2021-02-07","EPI_ISL_FAKE_169","Canada/fake_169/2021","2021-02-07","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-07"
"4","Portugal/fake_94/2021/EPI_ISL_FAKE_94/2021-01-13","EPI_ISL_FAKE_94","Portugal/fake_94/2021","2021-01-13","Europe","Portugal","Portugal",NA,NA,"B","Portugal",NA,NA,NA,"2021-01-13"
"5","UnitedKingdom/fake_200/2021/EPI_ISL_FAKE_200/2021-02-18","EPI_ISL_FAKE_200","UnitedKingdom/fake_200/2021","2021-02-18","Europe","United Kingdom","England",NA,NA,"B","United Kingdom",NA,NA,NA,"2021-02-18"
"6","Portugal/fake_47/2020/EPI_ISL_FAKE_47/2020-12-12","EPI_ISL_FAKE_47","Portugal/fake_47/2020","2020-12-12","Europe","Portugal","Portugal",NA,NA,"B","Portugal",NA,NA,NA,"2020-12-12"
"7","Canada/fake_115/2021/EPI_ISL_FAKE_115/2021-01-22","EPI_ISL_FAKE_115","Canada/fake_115/2021","2021-01-22","North America","Canada","Manitoba",NA,NA,"B","Canada_Manitoba",NA,NA,NA,"2021-01-22"
"8","Canada/fake_146/2021/EPI_ISL_FAKE_146/2021-02-01","EPI_ISL_FAKE_146","Canada/fake_146/2021","2021-02-01","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-01"
"9","Canada/fake_48/2020/EPI_ISL_FAKE_48/2020-12-12","EPI_ISL_FAKE_48","Canada/fake_48/2020","2020-12-12","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-12"
"10","Canada/fake_53/2020/EPI_ISL_FAKE_53/2020-12-14","EPI_ISL_FAKE_53","Canada/fake_53/2020","2020-12-14","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-14"
"11","Canada/fake_127/2021/EPI_ISL_FAKE_127/2021-01-25","EPI_ISL_FAKE_127","Canada/fake_127/2021","2021-01-25","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-01-25"
"12","USA/fake_181/2021/EPI_ISL_FAKE_181/2021-02-10","EPI_ISL_FAKE_181","USA/fake_181/2021","2021-02-10","North America","USA","Massachusetts",NA,NA,"B","USA",NA,NA,NA,"2021-02-10"
"13","Canada/fake_67/2020/EPI_ISL_FAKE_67/2020-12-26","EPI_ISL_FAKE_67","Canada/fake_67/2020","2020-12-26","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-26"
"14","Canada/fake_84/2021/EPI_ISL_FAKE_84/2021-01-07","EPI_ISL_FAKE_84","Canada/fake_84/2021","2021-01-07","North America","Canada","Nova Scotia",NA,NA,"B","Canada_Nova Scotia",NA,NA,NA,"2021-01-07"
"15","Canada/fake_4/2020/EPI_ISL_FAKE_4/2020-08-01","EPI_ISL_FAKE_4","Canada/fake_4/2020","2020-08-01","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia",NA,NA,NA,"2020-08-01"
"16","Canada/fake_3/2020/EPI_ISL_FAKE_3/2020-07-13","EPI_ISL_FAKE_3","Canada/fake_3/2020","2020-07-13","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia",NA,NA,NA,"2020-07-13"
"17","UnitedKingdom/fake_7/2020/EPI_ISL_FAKE_7/2020-08-13","EPI_ISL_FAKE_7","UnitedKingdom/fake_7/2020","2020-08-13","Europe","United Kingdom","England",NA,NA,"B","United Kingdom",NA,NA,NA,"2020-08-13"
"18","Canada/fake_83/2021/EPI_ISL_FAKE_83/2021-01-07","EPI_ISL_FAKE_83","Canada/fake_83/2021","2021-01-07","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-01-07"
"19","Canada/fake_87/2021/EPI_ISL_FAKE_87/2021-01-08","EPI_ISL_FAKE_87","Canada/fake_87/2021","2021-01-08","North America","Canada","Alberta",NA,NA,"B","Canada_Alberta",NA,NA,NA,"2021-01-08"
