"tip.id","tip.label","tip.state","par.id","par.state","par.lik"
1,"Canada/fake_164/2021/EPI_ISL_FAKE_164/2021-02-06","Canada_Ontario",192,"Canada_Ontario",0.928712078642785
2,"Canada/fake_167/2021/EPI_ISL_FAKE_167/2021-02-06","Canada_Ontario",192,"Canada_Ontario",0.928712078642785
4,"Canada/fake_115/2021/EPI_ISL_FAKE_115/2021-01-22","Canada_Manitoba",199,"Portugal",0.864547711560815
6,"Canada/fake_169/2021/EPI_ISL_FAKE_169/2021-02-07","Canada_Ontario",202,"Canada_Ontario",0.315239438953818
7,"Canada/fake_146/2021/EPI_ISL_FAKE_146/2021-02-01","Canada_Ontario",195,"Canada_Quebec",0.886563012325608
8,"Canada/fake_48/2020/EPI_ISL_FAKE_48/2020-12-12","Canada_Quebec",194,"Canada_Quebec",0.886563018303168
9,"Canada/fake_53/2020/EPI_ISL_FAKE_53/2020-12-14","Canada_Quebec",196,"Canada_Quebec",0.889219356475835
10,"Canada/fake_127/2021/EPI_ISL_FAKE_127/2021-01-25","Canada_Ontario",197,"Canada_Ontario",0.557100981157431
12,"Canada/fake_67/2020/EPI_ISL_FAKE_67/2020-12-26","Canada_Quebec",200,"Canada_Quebec",0.540311234344792
13,"Canada/fake_84/2021/EPI_ISL_FAKE_84/2021-01-07","Canada_Nova Scotia",201,"Canada_Quebec",0.54031118714995
14,"Canada/fake_4/2020/EPI_ISL_FAKE_4/2020-08-01","Canada_British Columbia",189,"Canada_British Columbia",0.980828093513586
15,"Canada/fake_3/2020/EPI_ISL_FAKE_3/2020-07-13","Canada_British Columbia",189,"Canada_British Columbia",0.980828093513586
17,"Canada/fake_55/2020/EPI_ISL_FAKE_55/2020-12-14","Canada_Quebec",206,"Canada_Ontario",0.552997718951436
18,"Canada/fake_32/2020/EPI_ISL_FAKE_32/2020-11-16","Canada_Ontario",207,"Canada_Ontario",0.668069650753146
22,"Canada/fake_21/2020/EPI_ISL_FAKE_21/2020-10-26","Canada_Quebec",209,"Canada_Ontario",0.660904248715667
23,"Canada/fake_106/2021/EPI_ISL_FAKE_106/2021-01-17","Canada_Ontario",210,"Canada_Ontario",0.759793797947569
