"tip.id","tip.label","tip.state","par.id","par.state","par.lik"
1,"Canada/fake_169/2021/EPI_ISL_FAKE_169/2021-02-07","Canada_Ontario",224,"Canada_Quebec",0.400008425820761
2,"Canada/fake_146/2021/EPI_ISL_FAKE_146/2021-02-01","Canada_Ontario",228,"Canada_Quebec",0.872626354829991
3,"Canada/fake_48/2020/EPI_ISL_FAKE_48/2020-12-12","Canada_Quebec",227,"Canada_Quebec",0.872626360518831
4,"Canada/fake_53/2020/EPI_ISL_FAKE_53/2020-12-14","Canada_Quebec",229,"Canada_Quebec",0.876292283027315
5,"Canada/fake_127/2021/EPI_ISL_FAKE_127/2021-01-25","Canada_Ontario",230,"Canada_Ontario",0.559800257361303
7,"Canada/fake_164/2021/EPI_ISL_FAKE_164/2021-02-06","Canada_Ontario",235,"Canada_Ontario",0.927650182251181
8,"Canada/fake_167/2021/EPI_ISL_FAKE_167/2021-02-06","Canada_Ontario",235,"Canada_Ontario",0.927650182251181
9,"Canada/fake_67/2020/EPI_ISL_FAKE_67/2020-12-26","Canada_Quebec",225,"Canada_Quebec",0.712905609255544
13,"Canada/fake_115/2021/EPI_ISL_FAKE_115/2021-01-22","Canada_Manitoba",233,"Portugal",0.879329889533223
14,"Canada/fake_84/2021/EPI_ISL_FAKE_84/2021-01-07","Canada_Nova Scotia",234,"Canada_Quebec",0.400008242927309
15,"Canada/fake_4/2020/EPI_ISL_FAKE_4/2020-08-01","Canada_British Columbia",221,"Canada_British Columbia",0.980562744923377
16,"Canada/fake_3/2020/EPI_ISL_FAKE_3/2020-07-13","Canada_British Columbia",221,"Canada_British Columbia",0.980562744923377
18,"Canada/fake_21/2020/EPI_ISL_FAKE_21/2020-10-26","Canada_Quebec",238,"Canada_Ontario",0.716424352911819
19,"Canada/fake_106/2021/EPI_ISL_FAKE_106/2021-01-17","Canada_Ontario",239,"Canada_Ontario",0.792433780266868
20,"Canada/fake_174/2021/EPI_ISL_FAKE_174/2021-02-08","Canada_Ontario",239,"Canada_Ontario",0.792433780266868
21,"Canada/fake_55/2020/EPI_ISL_FAKE_55/2020-12-14","Canada_Quebec",241,"Canada_Ontario",0.665032006507765
22,"Canada/fake_32/2020/EPI_ISL_FAKE_32/2020-11-16","Canada_Ontario",240,"Canada_Ontario",0.665032161267261
27,"Canada/fake_16/2020/EPI_ISL_FAKE_16/2020-10-14","Canada_Ontario",245,"Canada_Ontario",0.868004550934386
28,"Canada/fake_50/2020/EPI_ISL_FAKE_50/2020-12-12","Canada_Ontario",246,"Canada_Ontario",0.868004541277833
29,"Canada/fake_38/2020/EPI_ISL_FAKE_38/2020-11-28","Canada_Nova Scotia",247,"Canada_Nova Scotia",0.544230859432229
