"tip.id","tip.label","tip.state","par.id","par.state","par.lik"
1,"Canada/fake_146/2021/EPI_ISL_FAKE_146/2021-02-01","Canada_Ontario",191,"Canada_Quebec",0.889748743988733
2,"Canada/fake_48/2020/EPI_ISL_FAKE_48/2020-12-12","Canada_Quebec",190,"Canada_Quebec",0.889748749835736
3,"Canada/fake_53/2020/EPI_ISL_FAKE_53/2020-12-14","Canada_Quebec",192,"Canada_Quebec",0.893527886932632
4,"Canada/fake_127/2021/EPI_ISL_FAKE_127/2021-01-25","Canada_Ontario",193,"Canada_Ontario",0.55092375910251
6,"Canada/fake_67/2020/EPI_ISL_FAKE_67/2020-12-26","Canada_Quebec",196,"Canada_Quebec",0.693099306432
8,"Canada/fake_164/2021/EPI_ISL_FAKE_164/2021-02-06","Canada_Ontario",201,"Canada_Ontario",0.908323241555215
9,"Canada/fake_167/2021/EPI_ISL_FAKE_167/2021-02-06","Canada_Ontario",201,"Canada_Ontario",0.908323241555215
12,"Canada/fake_169/2021/EPI_ISL_FAKE_169/2021-02-07","Canada_Ontario",197,"Canada_Quebec",0.382436652811756
14,"Canada/fake_115/2021/EPI_ISL_FAKE_115/2021-01-22","Canada_Manitoba",199,"Portugal",0.86862543294544
15,"Canada/fake_84/2021/EPI_ISL_FAKE_84/2021-01-07","Canada_Nova Scotia",200,"Canada_Quebec",0.382436575435565
16,"Canada/fake_4/2020/EPI_ISL_FAKE_4/2020-08-01","Canada_British Columbia",186,"Canada_British Columbia",0.97729340242191
17,"Canada/fake_3/2020/EPI_ISL_FAKE_3/2020-07-13","Canada_British Columbia",186,"Canada_British Columbia",0.97729340242191
19,"Canada/fake_55/2020/EPI_ISL_FAKE_55/2020-12-14","Canada_Quebec",205,"Canada_Ontario",0.579306883159826
20,"Canada/fake_32/2020/EPI_ISL_FAKE_32/2020-11-16","Canada_Ontario",204,"Canada_Ontario",0.579307016987419
23,"Canada/fake_21/2020/EPI_ISL_FAKE_21/2020-10-26","Canada_Quebec",207,"Canada_Ontario",0.625047706051098
24,"Canada/fake_106/2021/EPI_ISL_FAKE_106/2021-01-17","Canada_Ontario",208,"Canada_Ontario",0.714917947709626
25,"Canada/fake_174/2021/EPI_ISL_FAKE_174/2021-02-08","Canada_Ontario",208,"Canada_Ontario",0.714917947709626
28,"Canada/fake_50/2020/EPI_ISL_FAKE_50/2020-12-12","Canada_Ontario",212,"Canada_Ontario",0.812968567593803
29,"Canada/fake_38/2020/EPI_ISL_FAKE_38/2020-11-28","Canada_Nova Scotia",213,"Canada_Nova Scotia",0.550786064345563
30,"Canada/fake_128/2021/EPI_ISL_FAKE_128/2021-01-25","Canada_Quebec",213,"Canada_Nova Scotia",0.550786064345563
31,"Canada/fake_16/2020/EPI_ISL_FAKE_16/2020-10-14","Canada_Ontario",211,"Canada_Ontario",0.81296857776696
32,"Canada/fake_83/2021/EPI_ISL_FAKE_83/2021-01-07","Canada_Ontario",182,"Canada_Ontario",0.307433481797438
33,"Canada/fake_87/2021/EPI_ISL_FAKE_87/2021-01-08","Canada_Alberta",182,"Canada_Ontario",0.307433481797438
35,"Canada/fake_57/2020/EPI_ISL_FAKE_57/2020-12-17","Canada_Quebec",184,"Canada_Quebec",0.5045419667587
36,"Canada/fake_166/2021/EPI_ISL_FAKE_166/2021-02-06","Canada_Ontario",184,"Canada_Quebec",0.5045419667587
40,"Canada/fake_49/2020/EPI_ISL_FAKE_49/2020-12-12","Canada_Ontario",175,"Canada_Ontario",0.977207613085417
41,"Canada/fake_161/2021/EPI_ISL_FAKE_161/2021-02-05","Canada_Ontario",175,"Canada_Ontario",0.977207613085417
42,"Canada/fake_8/2020/EPI_ISL_FAKE_8/2020-08-20","Canada_British Columbia",171,"Canada_British Columbia",0.519554596726244
44,"Canada/fake_79/2021/EPI_ISL_FAKE_79/2021-01-05","Canada_Alberta",173,"Canada_Alberta",0.23794993694437
45,"Canada/fake_91/2021/EPI_ISL_FAKE_91/2021-01-10","Canada_Alberta",174,"Canada_Alberta",0.373001314934776
46,"Canada/fake_101/2021/EPI_ISL_FAKE_101/2021-01-16","Canada_Nova Scotia",174,"Canada_Alberta",0.373001314934776
47,"Canada/fake_66/2020/EPI_ISL_FAKE_66/2020-12-24","Canada_Alberta",217,"USA",0.480144825038131
49,"Canada/fake_27/2020/EPI_ISL_FAKE_27/2020-11-05","Canada_Quebec",222,"USA",0.463308707472745
51,"Canada/fake_82/2021/EPI_ISL_FAKE_82/2021-01-05","Canada_Nova Scotia",220,"Canada_Nova Scotia",0.999999773087005
52,"Canada/fake_173/2021/EPI_ISL_FAKE_173/2021-02-08","Canada_Ontario",221,"Canada_Ontario",0.994255344463593
53,"Canada/fake_191/2021/EPI_ISL_FAKE_191/2021-02-13","Canada_Ontario",221,"Canada_Ontario",0.994255344463593
55,"Canada/fake_44/2020/EPI_ISL_FAKE_44/2020-12-05","Canada_Quebec",226,"Thailand",0.266949729227483
56,"Canada/fake_63/2020/EPI_ISL_FAKE_63/2020-12-24","Canada_Ontario",225,"Canada_Ontario",0.995802353814074
57,"Canada/fake_68/2020/EPI_ISL_FAKE_68/2020-12-26","Canada_Ontario",225,"Canada_Ontario",0.995802353814074
60,"Canada/fake_76/2021/EPI_ISL_FAKE_76/2021-01-03","Canada_Alberta",251,"Netherlands",0.348993310726293
62,"Canada/fake_148/2021/EPI_ISL_FAKE_148/2021-02-02","Canada_Ontario",251,"Netherlands",0.348993310726293
67,"Canada/fake_86/2021/EPI_ISL_FAKE_86/2021-01-08","Canada_Alberta",254,"Canada_Alberta",0.356957095283771
68,"Canada/fake_175/2021/EPI_ISL_FAKE_175/2021-02-09","Canada_Ontario",254,"Canada_Alberta",0.356957095283771
69,"Canada/fake_42/2020/EPI_ISL_FAKE_42/2020-12-01","Canada_Quebec",229,"Canada_Quebec",0.252955579570556
70,"Canada/fake_80/2021/EPI_ISL_FAKE_80/2021-01-05","Canada_Alberta",229,"Canada_Quebec",0.252955579570556
72,"Canada/fake_134/2021/EPI_ISL_FAKE_134/2021-01-27","Canada_Manitoba",230,"Russia",0.212000692558642
73,"Canada/fake_33/2020/EPI_ISL_FAKE_33/2020-11-19","Canada_Manitoba",233,"Canada_Alberta",0.610472373233904
