tip	date	distance	residual
Canada/fake_67/2020/EPI_ISL_FAKE_67/2020-12-26	2020.983606557377	5.09729E-4	-1.1427016980959475E-4
Canada/fake_164/2021/EPI_ISL_FAKE_164/2021-02-06	2021.0986301369862	5.09723E-4	-1.1427357139660193E-4
Canada/fake_167/2021/EPI_ISL_FAKE_167/2021-02-06	2021.0986301369862	5.09723E-4	-1.1427357139660193E-4
USA/fake_180/2021/EPI_ISL_FAKE_180/2021-02-10	2021.109589041096	6.918330000000001E-4	6.783667616793159E-5
Portugal/fake_47/2020/EPI_ISL_FAKE_47/2020-12-12	2020.9453551912568	4.73316E-4	-1.5068403391804155E-4
Canada/fake_115/2021/EPI_ISL_FAKE_115/2021-01-22	2021.0575342465754	5.097270000000001E-4	-1.1427049976360244E-4
Canada/fake_146/2021/EPI_ISL_FAKE_146/2021-02-01	2021.0849315068492	5.097060000000001E-4	-1.142908808522687E-4
Canada/fake_48/2020/EPI_ISL_FAKE_48/2020-12-12	2020.9453551912568	3.6408999999999996E-4	-2.599100339180416E-4
Canada/fake_53/2020/EPI_ISL_FAKE_53/2020-12-14	2020.950819672131	4.7330299999999995E-4	-1.506969104739778E-4
Canada/fake_127/2021/EPI_ISL_FAKE_127/2021-01-25	2021.0657534246575	6.553560000000001E-4	3.13586859097977E-5
USA/fake_181/2021/EPI_ISL_FAKE_181/2021-02-10	2021.109589041096	6.55357E-4	3.136067616793146E-5
Ireland/fake_89/2021/EPI_ISL_FAKE_89/2021-01-09	2021.021917808219	5.09716E-4	-1.142823043483363E-4
Canada/fake_169/2021/EPI_ISL_FAKE_169/2021-02-07	2021.1013698630136	5.825429999999999E-4	-4.145350950546863E-5
Canada/fake_84/2021/EPI_ISL_FAKE_84/2021-01-07	2021.0164383561644	4.0048499999999996E-4	-2.2351342813060313E-4
Canada/fake_4/2020/EPI_ISL_FAKE_4/2020-08-01	2020.5819672131147	1.45638E-4	-4.7837024294828594E-4
Canada/fake_3/2020/EPI_ISL_FAKE_3/2020-07-13	2020.5300546448088	1.82043E-4	-4.419664156668923E-4
UnitedKingdom/fake_7/2020/EPI_ISL_FAKE_7/2020-08-13	2020.6147540983607	2.54857E-4	-3.6915050228390306E-4
Canada/fake_21/2020/EPI_ISL_FAKE_21/2020-10-26	2020.8169398907103	3.27663E-4	-2.963399348535414E-4
Canada/fake_106/2021/EPI_ISL_FAKE_106/2021-01-17	2021.0438356164384	6.553829999999999E-4	3.138519078073061E-5
Canada/fake_174/2021/EPI_ISL_FAKE_174/2021-02-08	2021.1041095890412	4.36893E-4	-1.8710344761433518E-4
Canada/fake_125/2021/EPI_ISL_FAKE_125/2021-01-24	2021.0630136986301	7.2823E-4	1.0423262401866422E-4
Canada/fake_55/2020/EPI_ISL_FAKE_55/2020-12-14	2020.950819672131	4.00477E-4	-2.2352291047397777E-4
UnitedKingdom/fake_22/2020/EPI_ISL_FAKE_22/2020-10-26	2020.8169398907103	2.91266E-4	-3.327369348535414E-4
USA/fake_69/2020/EPI_ISL_FAKE_69/2020-12-27	2020.9863387978141	4.73301E-4	-1.5069810808756288E-4
Canada/fake_32/2020/EPI_ISL_FAKE_32/2020-11-16	2020.8743169398906	2.91266E-4	-3.3273563869087126E-4
UnitedKingdom/fake_193/2021/EPI_ISL_FAKE_193/2021-02-15	2021.123287671233	5.825399999999999E-4	-4.14560143764017E-5
USA/fake_15/2020/EPI_ISL_FAKE_15/2020-10-13	2020.7814207650274	5.0973E-4	-1.1427373723995628E-4
Canada/fake_16/2020/EPI_ISL_FAKE_16/2020-10-14	2020.7841530054645	4.36881E-4	-1.8712267551792438E-4
USA/fake_51/2020/EPI_ISL_FAKE_51/2020-12-13	2020.948087431694	5.09704E-4	-1.1429597219600961E-4
Canada/fake_50/2020/EPI_ISL_FAKE_50/2020-12-12	2020.9453551912568	6.55353E-4	3.135296608195847E-5
Canada/fake_38/2020/EPI_ISL_FAKE_38/2020-11-28	2020.9071038251366	5.82525E-4	-4.147589802648837E-5
Canada/fake_128/2021/EPI_ISL_FAKE_128/2021-01-25	2021.0657534246575	7.645839999999999E-4	1.4058668590979755E-4
Canada/fake_83/2021/EPI_ISL_FAKE_83/2021-01-07	2021.0164383561644	6.918559999999999E-4	6.785757186939683E-5
Canada/fake_87/2021/EPI_ISL_FAKE_87/2021-01-08	2021.0191780821917	9.468399999999999E-4	3.228416337605302E-4
Canada/fake_88/2021/EPI_ISL_FAKE_88/2021-01-09	2021.021917808219	6.554359999999999E-4	3.14376956516636E-5
Spain/fake_112/2021/EPI_ISL_FAKE_112/2021-01-21	2021.054794520548	6.91817E-4	6.781943834526405E-5
Canada/fake_57/2020/EPI_ISL_FAKE_57/2020-12-17	2020.9590163934427	6.18971E-4	-5.028725307882026E-6
Canada/fake_166/2021/EPI_ISL_FAKE_166/2021-02-06	2021.0986301369862	8.374349999999999E-4	2.1343842860339793E-4
France/fake_195/2021/EPI_ISL_FAKE_195/2021-02-16	2021.1260273972603	5.82561E-4	-4.14349524852682E-5
Spain/fake_9/2020/EPI_ISL_FAKE_9/2020-09-06	2020.6803278688524	5.09718E-4	-1.1428802095513708E-4
UnitedKingdom/fake_70/2020/EPI_ISL_FAKE_70/2020-12-27	2020.9863387978141	6.55398E-4	3.139889191243711E-5
Canada/fake_8/2020/EPI_ISL_FAKE_8/2020-08-20	2020.6338797814208	2.54864E-4	-3.691430702296796E-4
UnitedKingdom/fake_23/2020/EPI_ISL_FAKE_23/2020-10-27	2020.8196721311476	4.0048199999999996E-4	-2.2352087313150953E-4
Canada/fake_79/2021/EPI_ISL_FAKE_79/2021-01-05	2021.0109589041097	7.64599E-4	1.4060044808713028E-4
Canada/fake_91/2021/EPI_ISL_FAKE_91/2021-01-10	2021.0246575342467	6.91751E-4	6.775275754279707E-5
Canada/fake_101/2021/EPI_ISL_FAKE_101/2021-01-16	2021.041095890411	6.9175E-4	6.775212888959726E-5
Canada/fake_49/2020/EPI_ISL_FAKE_49/2020-12-12	2020.9453551912568	8.374899999999999E-4	2.1348996608195833E-4
UnitedKingdom/fake_152/2021/EPI_ISL_FAKE_152/2021-02-02	2021.0876712328768	0.001019544	3.9554718103886467E-4
Canada/fake_161/2021/EPI_ISL_FAKE_161/2021-02-05	2021.0958904109589	9.83128E-4	3.5913136671226467E-4
Canada/fake_66/2020/EPI_ISL_FAKE_66/2020-12-24	2020.9781420765028	4.7331900000000004E-4	-1.506802932536586E-4
Canada/fake_27/2020/EPI_ISL_FAKE_27/2020-11-05	2020.844262295082	4.73324E-4	-1.5067831763322225E-4
USA/fake_35/2020/EPI_ISL_FAKE_35/2020-11-23	2020.8934426229507	5.097350000000001E-4	-1.1426620663664781E-4
UnitedKingdom/fake_36/2020/EPI_ISL_FAKE_36/2020-11-24	2020.896174863388	6.18957E-4	-5.044144914616061E-6
Canada/fake_82/2021/EPI_ISL_FAKE_82/2021-01-05	2021.0109589041097	8.37435E-4	2.1343644808713023E-4
Canada/fake_173/2021/EPI_ISL_FAKE_173/2021-02-08	2021.1041095890412	8.73855E-4	2.498585523856648E-4
Canada/fake_191/2021/EPI_ISL_FAKE_191/2021-02-13	2021.1178082191782	9.466559999999999E-4	3.226598618413316E-4
Canada/fake_68/2020/EPI_ISL_FAKE_68/2020-12-26	2020.983606557377	5.0973E-4	-1.1426916980959473E-4
Canada/fake_63/2020/EPI_ISL_FAKE_63/2020-12-24	2020.9781420765028	5.46134E-4	-7.786529325365865E-5
UnitedKingdom/fake_121/2021/EPI_ISL_FAKE_121/2021-01-23	2021.0602739726028	6.18938E-4	-5.0594378724691524E-6
Canada/fake_44/2020/EPI_ISL_FAKE_44/2020-12-05	2020.9262295081967	5.82548E-4	-4.145246597226488E-5
Thailand/fake_14/2020/EPI_ISL_FAKE_14/2020-10-13	2020.7814207650274	4.00503E-4	-2.2350073723995627E-4
USA/fake_99/2021/EPI_ISL_FAKE_99/2021-01-15	2021.0383561643835	6.55373E-4	3.1375066998463896E-5
Netherlands/fake_40/2020/EPI_ISL_FAKE_40/2020-11-29	2020.9098360655737	6.55326E-4	3.132516369554357E-5
Canada/fake_76/2021/EPI_ISL_FAKE_76/2021-01-03	2021.0054794520547	7.645469999999999E-4	1.4054832430486334E-4
UnitedKingdom/fake_151/2021/EPI_ISL_FAKE_151/2021-02-02	2021.0876712328768	6.91734E-4	6.773718103886457E-5
Canada/fake_148/2021/EPI_ISL_FAKE_148/2021-02-02	2021.0876712328768	8.373799999999999E-4	2.133831810388645E-4
France/fake_54/2020/EPI_ISL_FAKE_54/2020-12-14	2020.950819672131	6.189429999999999E-4	-5.056910473977814E-6
USA/fake_118/2021/EPI_ISL_FAKE_118/2021-01-23	2021.0602739726028	8.738549999999999E-4	2.4985756212753075E-4
USA/fake_192/2021/EPI_ISL_FAKE_192/2021-02-13	2021.1178082191782	6.553490000000001E-4	3.135286184133171E-5
Canada/fake_86/2021/EPI_ISL_FAKE_86/2021-01-08	2021.0191780821917	6.55362E-4	3.136363376053035E-5
Canada/fake_175/2021/EPI_ISL_FAKE_175/2021-02-09	2021.1068493150685	8.010220000000001E-4	1.770256142767983E-4
USA/fake_186/2021/EPI_ISL_FAKE_186/2021-02-12	2021.1150684931506	8.010519999999999E-4	1.7705579995019817E-4
USA/fake_24/2020/EPI_ISL_FAKE_24/2020-10-30	2020.827868852459	5.0971E-4	-1.142926879654138E-4
Russia/fake_129/2021/EPI_ISL_FAKE_129/2021-01-26	2021.0684931506848	7.28206E-4	1.0420874780093104E-4
Canada/fake_134/2021/EPI_ISL_FAKE_134/2021-01-27	2021.0712328767124	7.646169999999999E-4	1.406198096920642E-4
Canada/fake_42/2020/EPI_ISL_FAKE_42/2020-12-01	2020.9153005464482	5.46119E-4	-7.788171286039259E-5
Canada/fake_80/2021/EPI_ISL_FAKE_80/2021-01-05	2021.0109589041097	6.9178E-4	6.778144808713027E-5
Canada/fake_33/2020/EPI_ISL_FAKE_33/2020-11-19	2020.8825136612022	8.738809999999999E-4	2.498795464752243E-4
Canada/fake_171/2021/EPI_ISL_FAKE_171/2021-02-08	2021.1041095890412	9.831080000000001E-4	3.5911155238566494E-4
Canada/fake_97/2021/EPI_ISL_FAKE_97/2021-01-14	2021.035616438356	0.0010195139999999998	3.955160051073303E-4
Canada/fake_100/2021/EPI_ISL_FAKE_100/2021-01-16	2021.041095890411	0.001128755	5.047571288895972E-4
Canada/fake_72/2020/EPI_ISL_FAKE_72/2020-12-29	2020.9918032786886	8.37465E-4	2.1346601535650095E-4
Canada/fake_77/2021/EPI_ISL_FAKE_77/2021-01-03	2021.0054794520547	8.738639999999999E-4	2.498653243048634E-4
Canada/fake_58/2020/EPI_ISL_FAKE_58/2020-12-18	2020.9617486338798	9.10275E-4	2.862753364141499E-4
UnitedKingdom/fake_71/2020/EPI_ISL_FAKE_71/2020-12-27	2020.9863387978141	0.0010195069999999998	3.9550789191243694E-4
Canada/fake_5/2020/EPI_ISL_FAKE_5/2020-08-01	2020.5819672131147	3.6408E-4	-2.5992824294828593E-4
Canada/fake_6/2020/EPI_ISL_FAKE_6/2020-08-03	2020.5874316939892	3.6408E-4	-2.5992811950422215E-4
Canada/fake_163/2021/EPI_ISL_FAKE_163/2021-02-05	2021.0958904109589	9.466419999999998E-4	3.226453667122645E-4
Canada/fake_46/2020/EPI_ISL_FAKE_46/2020-12-09	2020.9371584699454	6.91771E-4	6.777078091586267E-5
Canada/fake_75/2021/EPI_ISL_FAKE_75/2021-01	0.0	8.009969999999998E-4	1.3134327762508592E-4
Canada/fake_109/2021/EPI_ISL_FAKE_109/2021-01-19	2021.0493150684931	8.374479999999999E-4	2.134503145629973E-4
Canada/fake_172/2021/EPI_ISL_FAKE_172/2021-02-08	2021.1041095890412	7.646069999999999E-4	1.4061055238566477E-4
Canada/fake_56/2020/EPI_ISL_FAKE_56/2020-12-15	2020.9535519125684	5.097900000000001E-4	-1.1420984875194567E-4
Canada/fake_85/2021/EPI_ISL_FAKE_85/2021-01-08	2021.0191780821917	5.82595E-4	-4.140336623946971E-5
Canada/fake_37/2020/EPI_ISL_FAKE_37/2020-11-24	2020.896174863388	4.36927E-4	-1.8707414491461602E-4
UnitedKingdom/fake_150/2021/EPI_ISL_FAKE_150/2021-02-02	2021.0876712328768	5.09756E-4	-1.1424081896113539E-4
Canada/fake_102/2021/EPI_ISL_FAKE_102/2021-01-17	2021.0438356164384	9.46818E-4	3.2282019078073065E-4
Canada/fake_93/2021/EPI_ISL_FAKE_93/2021-01-10	2021.0246575342467	4.7330200000000004E-4	-1.5069624245720288E-4
