tip	date	distance	residual
Canada/fake_146/2021/EPI_ISL_FAKE_146/2021-02-01	2021.0849315068492	5.09973E-4	-1.1309773805891611E-4
Canada/fake_48/2020/EPI_ISL_FAKE_48/2020-12-12	2020.9453551912568	3.64279E-4	-2.587949793986886E-4
Canada/fake_53/2020/EPI_ISL_FAKE_53/2020-12-14	2020.950819672131	4.7354900000000003E-4	-1.4952485249865457E-4
Canada/fake_127/2021/EPI_ISL_FAKE_127/2021-01-25	2021.0657534246575	6.556989999999999E-4	3.262781657411521E-5
USA/fake_181/2021/EPI_ISL_FAKE_181/2021-02-10	2021.109589041096	6.557E-4	3.262983455575778E-5
Canada/fake_67/2020/EPI_ISL_FAKE_67/2020-12-26	2020.983606557377	5.09992E-4	-1.1308109109845063E-4
UnitedKingdom/fake_185/2021/EPI_ISL_FAKE_185/2021-02-12	2021.1150684931506	6.921499999999999E-4	6.907996180346304E-5
Portugal/fake_94/2021/EPI_ISL_FAKE_94/2021-01-13	2021.0328767123287	4.7357000000000003E-4	-1.495019469121166E-4
Canada/fake_169/2021/EPI_ISL_FAKE_169/2021-02-07	2021.1013698630136	5.82871E-4	-4.019935631580009E-5
USA/fake_180/2021/EPI_ISL_FAKE_180/2021-02-10	2021.109589041096	6.922E-4	6.912983455575786E-5
Portugal/fake_47/2020/EPI_ISL_FAKE_47/2020-12-12	2020.9453551912568	4.7357000000000003E-4	-1.4950397939868856E-4
Canada/fake_115/2021/EPI_ISL_FAKE_115/2021-01-22	2021.0575342465754	5.09999E-4	-1.1307237429744274E-4
Canada/fake_164/2021/EPI_ISL_FAKE_164/2021-02-06	2021.0986301369862	5.099960000000001E-4	-1.1307441993965272E-4
Canada/fake_167/2021/EPI_ISL_FAKE_167/2021-02-06	2021.0986301369862	5.099960000000001E-4	-1.1307441993965272E-4
Canada/fake_84/2021/EPI_ISL_FAKE_84/2021-01-07	2021.0164383561644	4.0069000000000004E-4	-2.2238232865523267E-4
Canada/fake_4/2020/EPI_ISL_FAKE_4/2020-08-01	2020.5819672131147	1.45714E-4	-4.7736841825094954E-4
Canada/fake_3/2020/EPI_ISL_FAKE_3/2020-07-13	2020.5300546448088	1.8213799999999998E-4	-4.4094562380127256E-4
UnitedKingdom/fake_7/2020/EPI_ISL_FAKE_7/2020-08-13	2020.6147540983607	2.54991E-4	-3.680906568507456E-4
Canada/fake_55/2020/EPI_ISL_FAKE_55/2020-12-14	2020.950819672131	4.0069000000000004E-4	-2.2238385249865456E-4
Canada/fake_32/2020/EPI_ISL_FAKE_32/2020-11-16	2020.8743169398906	2.9141700000000003E-4	-3.3165862909913057E-4
UnitedKingdom/fake_22/2020/EPI_ISL_FAKE_22/2020-10-26	2020.8169398907103	2.91422E-4	-3.3165496154948757E-4
USA/fake_69/2020/EPI_ISL_FAKE_69/2020-12-27	2020.9863387978141	4.735530000000001E-4	-1.495200276484335E-4
Canada/fake_21/2020/EPI_ISL_FAKE_21/2020-10-26	2020.8169398907103	3.27836E-4	-2.9524096154948755E-4
