tip	date	distance	residual
Canada/fake_67/2020/EPI_ISL_FAKE_67/2020-12-26	2020.983606557377	5.103250000000001E-4	-1.1742314324641946E-4
Canada/fake_164/2021/EPI_ISL_FAKE_164/2021-02-06	2021.0986301369862	5.10319E-4	-1.1742671460646635E-4
Canada/fake_167/2021/EPI_ISL_FAKE_167/2021-02-06	2021.0986301369862	5.10319E-4	-1.1742671460646635E-4
USA/fake_180/2021/EPI_ISL_FAKE_180/2021-02-10	2021.109589041096	6.926410000000001E-4	6.489551678289288E-5
Portugal/fake_47/2020/EPI_ISL_FAKE_47/2020-12-12	2020.9453551912568	4.7386899999999997E-4	-1.5387995089643662E-4
Canada/fake_115/2021/EPI_ISL_FAKE_115/2021-01-22	2021.0575342465754	5.103220000000001E-4	-1.1742458231656268E-4
Portugal/fake_94/2021/EPI_ISL_FAKE_94/2021-01-13	2021.0328767123287	4.7387099999999995E-4	-1.5387610294262085E-4
UnitedKingdom/fake_200/2021/EPI_ISL_FAKE_200/2021-02-18	2021.131506849315	6.197050000000001E-4	-8.040020438389002E-6
Ireland/fake_89/2021/EPI_ISL_FAKE_89/2021-01-09	2021.021917808219	5.103260000000001E-4	-1.1742133433197978E-4
Canada/fake_169/2021/EPI_ISL_FAKE_169/2021-02-07	2021.1013698630136	5.832380000000001E-4	-4.450765675912641E-5
Canada/fake_146/2021/EPI_ISL_FAKE_146/2021-02-01	2021.0849315068492	5.103120000000001E-4	-1.1743400384316507E-4
Canada/fake_48/2020/EPI_ISL_FAKE_48/2020-12-12	2020.9453551912568	3.6452399999999997E-4	-2.632249508964366E-4
Canada/fake_53/2020/EPI_ISL_FAKE_53/2020-12-14	2020.950819672131	4.7386399999999995E-4	-1.5388483551786276E-4
Canada/fake_127/2021/EPI_ISL_FAKE_127/2021-01-25	2021.0657534246575	6.561320000000001E-4	2.8385591225456633E-5
USA/fake_181/2021/EPI_ISL_FAKE_181/2021-02-10	2021.109589041096	6.561330000000002E-4	2.8387516782892898E-5
Canada/fake_84/2021/EPI_ISL_FAKE_84/2021-01-07	2021.0164383561644	4.00948E-4	-2.267994500266594E-4
Canada/fake_4/2020/EPI_ISL_FAKE_4/2020-08-01	2020.5819672131147	1.45807E-4	-4.819496235715981E-4
Canada/fake_3/2020/EPI_ISL_FAKE_3/2020-07-13	2020.5300546448088	1.82255E-4	-4.455027196680496E-4
UnitedKingdom/fake_7/2020/EPI_ISL_FAKE_7/2020-08-13	2020.6147540983607	2.55154E-4	-3.7260193130015485E-4
Canada/fake_83/2021/EPI_ISL_FAKE_83/2021-01-07	2021.0164383561644	6.926640000000001E-4	6.491654997334067E-5
UnitedArabEmirates/fake_107/2021/EPI_ISL_FAKE_107/2021-01-18	2021.0465753424658	6.926640000000001E-4	6.49171862940782E-5
Canada/fake_87/2021/EPI_ISL_FAKE_87/2021-01-08	2021.0191780821917	9.47947E-4	3.2019960782068036E-4
